jogador,time,ano
Nathan Ribeiro Fernandes,6273,2024
Lian Dos Santos Da Silva,6273,2024
Alysson Edward,6273,2024
Guga,6273,2024
André Henrique,6273,2024
Gustavo,9971,2024
Kauã Moroso,9971,2024
Alisson,9971,2024
Matheus Teixeira,9971,2024
Hiago,9971,2024
Jackson Crispim,9971,2024
Kaik,9971,2024
Rodrigo,9971,2024
Wilker Ángel,9971,2024
Jonathan Lemos,9971,2024
Miguel Trauco,9971,2024
Eliédson,9971,2024
Dudu,9971,2024
Marcelo Hermes,9971,2024
Claudio Coelho Salvático,9971,2024
Tobias Figueiredo,9971,2024
Walisson Maia,9971,2024
Erick Garcia,9971,2024
Thiago Mina,9971,2024
Guilherme Silva,9971,2024
Fabricio,9971,2024
Higor Matheus Meritão,9971,2024
Ronald,9971,2024
Fellipe Mateus,9971,2024
Newton,9971,2024
Marquinhos Gabriel,9971,2024
Matheuzinho,9971,2024
Eliel,9971,2024
Léo Gonçalves,9971,2024
Serginho,9971,2024
Patrick de Paula,9971,2024
Barreto,9971,2024
Allano,9971,2024
Felipe Vizeu,9971,2024
Yannick Bolasie,9971,2024
Éder,9971,2024
Pedro Rocha,9971,2024
Arthur Caike,9971,2024
Jhonata Robert,9971,2024
Adriano,9971,2024
Werik,9971,2024
Eduardo,9971,2024
Fábio,3445,2024
Kevyn,3445,2024
Felipe Alves,3445,2024
Gabriel Fuentes,3445,2024
Gustavo Ramalho Bremer Pinto,3445,2024
Vitor Eudes,3445,2024
Samuel Xavier,3445,2024
Thiago Silva,3445,2024
Ignácio,3445,2024
Diogo Barbosa,3445,2024
Marcelo,3445,2024
Felipe De Andrade Vieira,3445,2024
Guga,3445,2024
Antônio Carlos,3445,2024
Manoel,3445,2024
Felipe Melo,3445,2024
João Loiola,3445,2024
Wallace II,3445,2024
Lucas Da Sliva Justen,3445,2024
Rafael Monteiro,3445,2024
João Henrique,3445,2024
Facundo Bernal,3445,2024
Renato Augusto,3445,2024
Martinelli,3445,2024
Ganso,3445,2024
Nonato,3445,2024
Jhon Arias,3445,2024
Gabriel,3445,2024
Arthur Wenderrosky Sanches,3445,2024
Thiago Santos,3445,2024
Robinho,3445,2024
Isaque,3445,2024
Thiago Henrique,3445,2024
Lima,3445,2024
Gustavo Dohmann,3445,2024
David Terans,3445,2024
Joao Neto,3445,2024
John Kennedy,3445,2024
Keno,3445,2024
Germán Cano,3445,2024
Matheus Reis,3445,2024
Jan Lucumí,3445,2024
Lelê,3445,2024
Kauã Elias,3445,2024
Victor Hugo Ramos De Souza,3445,2024
Isaac,3445,2024
Agner,3445,2024
Marquinhos,3445,2024
Kevin Serna,3445,2024
Lucas Arcanjo,3457,2024
Yuri Sena,3457,2024
Muriel,3457,2024
