nome,espn_id,posicao,idade,altura,nacionalidade
Adriel,382871,ATACANTE,20,,Brasil
Jhonatan Kauan,361400,ATACANTE,20,1.73,Brasil
Lucas Alario,158918,ATACANTE,32,1.83,Argentina
Yago,382900,ATACANTE,17,,Brasil
Lucca,338953,ATACANTE,21,1.8,Brasil
Lucca Drummond,385758,ATACANTE,20,,Brasil
Ricardo Mathias,361364,ATACANTE,18,1.96,Brasil
Leandro Mathias Silva Bueno,362543,GOLEIRO,19,1.88,Brasil
Rafael,199013,GOLEIRO,35,1.93,Brasil
Felipe Preis,380459,GOLEIRO,18,,Brasil
João Pedro,383059,GOLEIRO,18,1.91,Brasil
Young,318176,GOLEIRO,22,2.03,Brasil
Jandrei,198844,GOLEIRO,31,1.88,Brasil
Igor Felisberto,379484,DEFENSOR,17,,Brasil
Igor,235894,DEFENSOR,27,1.75,Brasil
Jamal Lewis,243720,DEFENSOR,26,1.78,Irlanda do Norte
Robert Arboleda,201531,DEFENSOR,33,1.88,Equador
Welington,300103,DEFENSOR,23,1.78,Brasil
Rafinha,69155,DEFENSOR,39,1.7,Brasil
Ruan,268693,DEFENSOR,25,1.88,Brasil
Alan Franco,228493,DEFENSOR,28,1.78,Argentina
João Moreira,334787,DEFENSOR,20,1.75,Brasil
Nahuel Ferraresi,245291,DEFENSOR,25,1.91,Venezuela
Igão,386050,DEFENSOR,17,,Brasil
Sabino,285010,DEFENSOR,28,1.83,Brasil
Patryck,297078,DEFENSOR,21,1.73,Brasil
Lucas Loss,383060,DEFENSOR,17,1.88,Brasil
Matheus Souza,358242,DEFENSOR,21,1.83,Brasil
Giuliano Galoppo,270889,MEIO-CAMPO,25,1.8,Argentina
Rodrigo Nestor,266664,MEIO-CAMPO,24,1.75,Brasil
Michel Araújo,227241,MEIO-CAMPO,28,1.78,Uruguai
Luiz Gustavo,113352,MEIO-CAMPO,37,1.85,Brasil
Rodriguinho,339001,MEIO-CAMPO,20,1.88,Brasil
Marcos Antonio,266282,MEIO-CAMPO,24,1.65,Brasil
Damián Bobadilla,301516,MEIO-CAMPO,23,1.8,Paraguai
Alisson,199012,MEIO-CAMPO,31,1.73,Brasil
Liziero,228403,MEIO-CAMPO,26,1.75,Brasil
Wellington Rato,233238,MEIO-CAMPO,32,1.73,Brasil
Pablo Maia,319168,MEIO-CAMPO,22,1.78,Brasil
Cauã Lucca,383058,MEIO-CAMPO,20,1.7,Brasil
Lucas Ferreira,383068,MEIO-CAMPO,18,1.8,Brasil
Felipe Negrucci,361627,MEIO-CAMPO,20,1.8,Brasil
Santiago Longo,290766,ATACANTE,26,1.78,Argentina
Lucas Moura,130711,ATACANTE,32,1.73,Brasil
Jonathan Calleri,162558,ATACANTE,31,1.8,Argentina
Luciano,190483,ATACANTE,31,1.83,Brasil
Paulo Sérgio,383041,ATACANTE,19,1.78,Brasil
André Silva,270578,ATACANTE,27,1.8,Brasil
Ryan Francisco,383042,ATACANTE,17,1.7,Brasil
Erick,256044,ATACANTE,26,1.73,Brasil
Henrique Carmo,381160,ATACANTE,17,,Brasil
William,376664,ATACANTE,18,,Brasil
Ferreira,296573,ATACANTE,26,1.75,Brasil
King Faisal,361623,ATACANTE,20,1.73,Gana
João Gabriel,383073,ATACANTE,20,1.83,Brasil
Danilo Fernandes,143818,GOLEIRO,36,1.88,Brasil
Marcos Felipe,191997,GOLEIRO,28,1.85,Brasil
Adriel,315681,GOLEIRO,23,1.91,Brasil
André Dhominique,338647,DEFENSOR,21,1.78,Brasil
Gilberto,198761,DEFENSOR,31,1.8,Brasil
Gabriel Xavier,336604,DEFENSOR,23,,Brasil
Kanu,252973,DEFENSOR,27,1.85,Brasil
Santiago Arias,164756,DEFENSOR,32,1.78,Colômbia
Víctor Cuesta,200303,DEFENSOR,35,1.88,Argentina
Luciano Rodríguez,118688,DEFENSOR,17,1.88,Uruguai
Iago,252800,DEFENSOR,27,1.8,Brasil
Vitor Hugo,191995,DEFENSOR,33,1.88,Brasil
David Duarte,219090,DEFENSOR,29,1.93,Brasil
Cicinho,191411,DEFENSOR,35,1.68,Bulgária
Vitinho,388193,MEIO-CAMPO,20,,Brasil
Julio Cesar,217415,MEIO-CAMPO,29,,Brasil
Jean Lucas,269910,MEIO-CAMPO,26,1.8,Brasil
Cauly Oliveira Souza,260392,MEIO-CAMPO,29,1.73,Brasil
Éverton Ribeiro,199017,MEIO-CAMPO,35,1.7,Brasil
Carlos De Peña,199087,MEIO-CAMPO,32,1.78,Uruguai
Thaciano,218938,MEIO-CAMPO,29,1.83,Brasil
Caio Alexandre,299932,MEIO-CAMPO,25,1.75,Brasil
Yago Felipe,202554,MEIO-CAMPO,29,1.75,Brasil
Nicolás Acevedo,285757,MEIO-CAMPO,25,1.73,Uruguai
Sidney,376490,MEIO-CAMPO,18,1.68,Brasil
Jota,339036,MEIO-CAMPO,20,1.83,Brasil
Roger Gabriel,360136,MEIO-CAMPO,17,,Brasil
Ruan Pablo,387949,ATACANTE,16,,Brasil
Ademir,269675,ATACANTE,29,1.75,Brasil
Everaldo,167845,ATACANTE,33,1.8,Brasil
Gabriel Teixeira,314835,ATACANTE,23,1.7,Brasil
Rafael Ratão,198512,ATACANTE,28,1.83,Brasil
Luciano,304757,ATACANTE,25,1.75,Brasil
Tiago Souza De Jesus Carvalho,387395,ATACANTE,19,,Brasil
Cássio,108347,GOLEIRO,37,1.96,Brasil
Leonardo,361949,GOLEIRO,22,,Brasil
Otávio,337996,GOLEIRO,18,,Brasil
Marcelo,383087,GOLEIRO,18,,Brasil
Gabriel Chapecó,317014,GOLEIRO,24,1.8,Brasil
Anderson Paixão,276217,GOLEIRO,26,1.93,Brasil
Wesley,266671,DEFENSOR,24,1.78,Brasil
Marlon,229121,DEFENSOR,27,1.75,Brasil
Zé Ivaldo,319270,DEFENSOR,27,1.85,Brasil
Kaiki,317233,DEFENSOR,21,1.73,Brasil
William,212077,DEFENSOR,29,1.75,Brasil
Lucas Villalba,176810,DEFENSOR,30,1.78,Argentina
Jonathan Jesus,363020,DEFENSOR,20,,Brasil
Pedro Henrique Franklim Martins,341413,DEFENSOR,20,1.91,Brasil
João Marcelo,286558,DEFENSOR,24,1.88,Brasil
Weverton,314830,DEFENSOR,21,1.83,Brasil
Dorival,383092,DEFENSOR,20,,Brasil
Victor Gabriel,383086,DEFENSOR,18,,Brasil
Bruno Alves,383090,DEFENSOR,19,1.85,Brasil
Mateus Vital,229019,MEIO-CAMPO,26,1.75,Brasil
Matheus Pereira,216098,MEIO-CAMPO,26,1.8,Brasil
