id_partida,time,chute_gol,chute,gol,defesa,posse
699559,Fortaleza,4,11,2,6,31.7
699565,Fortaleza,4,16,1,2,50.4
699565,Criciúma,2,12,0,3,49.6
699568,Cuiabá,3,15,1,3,60.5
699568,Grêmio,6,10,3,3,39.5
699562,Corinthians,5,19,1,5,62.5
699562,Red Bull Bragantino,6,11,1,4,37.5
699569,Cruzeiro,1,6,0,3,35.2
699569,Atlético-MG,4,12,0,1,64.8
699561,Vasco da Gama,3,8,2,3,43.2
699561,Fluminense,3,12,0,1,56.8
699567,Juventude,8,16,3,7,36.6
699567,Botafogo,10,24,2,4,63.4
699563,Bahia,3,7,2,5,56.8
699563,Vitória,5,14,0,1,43.2
699564,Flamengo,7,11,1,5,51.7
699564,Palmeiras,7,9,1,6,48.3
699560,São Paulo,7,12,1,6,45.1
699560,Atlético-GO,6,13,0,5,54.9
699566,Internacional,4,23,2,3,53.8
699566,Athletico-PR,5,12,2,1,46.2
699406,Internacional,10,21,2,2,48.1
699406,Juventude,3,8,1,8,51.9
699572,Atlético-MG,4,13,1,4,60.3
699572,Cuiabá,6,11,1,3,39.7
699576,Grêmio,5,13,0,3,39.9
699576,Bahia,5,12,2,5,60.1
699578,Red Bull Bragantino,9,13,1,5,60.7
699578,Fortaleza,7,14,2,7,39.3
699574,Fluminense,4,16,0,2,55.7
699574,Corinthians,2,8,0,4,44.3
699571,Atlético-GO,5,13,1,6,41.8
699571,Internacional,6,19,0,4,58.2
699579,Criciúma,8,19,2,2,50.6
699579,Vasco da Gama,4,13,2,6,49.4
699577,Palmeiras,8,24,2,3,53.3
699577,São Paulo,4,8,1,6,46.7
699570,Athletico-PR,7,23,1,3,60.0
699570,Juventude,5,8,2,6,40.0
699573,Botafogo,9,19,4,2,54.0
699573,Flamengo,4,10,1,5,46.0
699575,Vitória,5,14,2,10,30.0
699575,Cruzeiro,12,25,2,3,70.0
699580,Atlético-GO,7,19,2,2,40.1
699580,Juventude,3,13,1,5,59.9
699587,Palmeiras,9,14,5,3,57.7
699587,Cuiabá,3,10,0,4,42.3
699581,Atlético-MG,0,19,0,5,60.5
699581,Fluminense,6,8,2,0,39.5
699582,Bahia,7,17,0,5,53.4
699582,Botafogo,5,14,0,7,46.6
699583,Criciúma,4,19,0,3,46.4
699583,Grêmio,4,14,1,4,53.6
699585,Fortaleza,5,8,1,3,44.5
699585,Corinthians,4,12,0,4,55.5
699588,São Paulo,3,12,2,3,58.3
699588,Vitória,4,10,1,1,41.7
699586,Internacional,9,19,1,3,44.1
699586,Cruzeiro,3,5,0,8,55.9
